ipo_id,stock_code,company_name_zh,listing_chapter,db_l1,db_l2,db_l3,inferred_l1,inferred_l2,inferred_l3,inferred_bids,n_hits,status
HK_2237_HK_2022,2237.HK,中国石墨,main_board_profitable,原材料业,一般金属及矿石,其他金属及矿物,原材料业,一般金属及矿石,其他金属及矿物,011002009005004,1,OK
HK_9857_HK_2022,9857.HK,柠萌影视,main_board_profitable,非必需性消费,媒体及娱乐,影视娱乐,非必需性消费,媒体及娱乐,影视娱乐,011002020005003,1,OK
HK_2562_HK_2022,2562.HK,狮腾控股,spac,非必需性消费,专业零售,线上零售商,非必需性消费,专业零售,线上零售商,011002HS237060,1,OK
HK_2321_HK_2022,2321.HK,双财庄,main_board_profitable,必需性消费,食物饮品,包装食品,必需性消费,食物饮品,包装食品,011002021001001,1,OK
HK_2152_HK_2022,2152.HK,苏新服务,main_board_profitable,地产建筑业,地产,物业服务及管理,地产建筑业,地产,物业服务及管理,011002004001005,1,OK
HK_1880_HK_2022,1880.HK,中国中免,a_plus_h,非必需性消费,旅游及消闲设施,旅游及观光,非必需性消费,旅游及消闲设施,旅游及观光,011002020004005,1,OK
HK_2315_HK_2022,2315.HK,百奥赛图-B,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_9886_HK_2022,9886.HK,叮当健康,main_board_profitable,医疗保健业,药品及生物科技,药品分销,医疗保健业,药品及生物科技,药品分销,011002022001004,1,OK
HK_1698_HK_2022,1698.HK,腾讯音乐-SW,secondary,非必需性消费,媒体及娱乐,影视娱乐,非必需性消费,媒体及娱乐,影视娱乐,011002020005003,1,OK
HK_2350_HK_2022,2350.HK,数科集团,main_board_profitable,资讯科技业,软件服务,数码解决方案服务,资讯科技业,半导体,数码解决方案服务,011002HS702015,1,OK
HK_2602_HK_2022,2602.HK,万物云,main_board_profitable,地产建筑业,地产,物业服务及管理,地产建筑业,地产,物业服务及管理,011002004001005,1,OK
HK_9863_HK_2022,9863.HK,零跑汽车,main_board_profitable,非必需性消费,汽车,汽车Ⅲ,非必需性消费,汽车,汽车,011002020001001,1,MISMATCH
HK_3931_HK_2022,3931.HK,中创新航,main_board_profitable,工业,工业工程,能源储存装置,工业,工业工程,能源储存装置,011002018001008,1,OK
HK_6660_HK_2022,6660.HK,艾美疫苗,main_board_profitable,医疗保健业,药品及生物科技,药品,医疗保健业,药品及生物科技,药品,011002022001001,1,OK
HK_1489_HK_2022,1489.HK,GC CONSTRUCTION,main_board_profitable,地产建筑业,建筑,建筑材料,地产建筑业,建筑,建筑材料,011002004002001,1,OK
HK_9877_HK_2022,9877.HK,健世科技-B,18a,医疗保健业,其他医疗保健,医疗设备及用品,医疗保健业,其他医疗保健,医疗设备及用品,011002022002001,1,OK
HK_2422_HK_2022,2422.HK,润歌互动,main_board_profitable,非必需性消费,媒体及娱乐,广告及宣传,非必需性消费,媒体及娱乐,广告及宣传,011002020005001,1,OK
HK_6610_HK_2022,6610.HK,飞天云动,main_board_profitable,资讯科技业,软件服务,应用软件,资讯科技业,软件服务,应用软件,011002005001003,1,OK
HK_2367_HK_2022,2367.HK,巨子生物,main_board_profitable,医疗保健业,其他医疗保健,护肤与化妆品,医疗保健业,其他医疗保健,护肤与化妆品,011002HS282040,1,OK
HK_2291_HK_2022,2291.HK,心泰医疗,main_board_profitable,医疗保健业,其他医疗保健,医疗设备及用品,医疗保健业,其他医疗保健,医疗设备及用品,011002022002001,1,OK
HK_6696_HK_2022,6696.HK,多想云,main_board_profitable,非必需性消费,媒体及娱乐,广告及宣传,非必需性消费,媒体及娱乐,广告及宣传,011002020005001,1,OK
HK_2420_HK_2022,2420.HK,子不语,main_board_profitable,非必需性消费,专业零售,服装零售商,非必需性消费,专业零售,服装零售商,011002020007002,1,OK
HK_1407_HK_2022,1407.HK,交运燃气,main_board_profitable,能源业,石油及天然气,油气生产商,能源业,石油及天然气,油气生产商,011002008002001,1,OK
HK_2436_HK_2022,2436.HK,凌雄科技,main_board_profitable,资讯科技业,资讯科技器材,电脑及周边器材,资讯科技业,资讯科技器材,电脑及周边器材,011002005002002,1,OK
HK_3660_HK_2022,3660.HK,奇富科技-S,secondary,金融业,其他金融,信贷,金融业,其他金融,信贷,011002003003003,1,OK
HK_2245_HK_2022,2245.HK,力勤资源,main_board_profitable,原材料业,一般金属及矿石,其他金属及矿物,原材料业,一般金属及矿石,其他金属及矿物,011002009005004,1,OK
HK_6963_HK_2022,6963.HK,阳光保险,main_board_profitable,金融业,保险,保险Ⅲ,金融业,保险,保险,011002003001001,1,MISMATCH
HK_2407_HK_2022,2407.HK,高视医疗,main_board_profitable,医疗保健业,其他医疗保健,医疗设备及用品,医疗保健业,其他医疗保健,医疗设备及用品,011002022002001,1,OK
HK_2440_HK_2022,2440.HK,迷策略,main_board_profitable,资讯科技业,软件服务,互联网服务及基础设施,资讯科技业,半导体,互联网服务及基础设施,011002HS702025,1,OK
HK_1947_HK_2022,1947.HK,美皓集团,main_board_profitable,医疗保健业,其他医疗保健,医疗及医学美容服务,医疗保健业,其他医疗保健,医疗及医学美容服务,011002022002002,1,OK
HK_9985_HK_2022,9985.HK,卫龙美味,main_board_profitable,必需性消费,食物饮品,包装食品,必需性消费,食物饮品,包装食品,011002021001001,1,OK
HK_1244_HK_2022,1244.HK,思路迪医药股份,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_2457_HK_2022,2457.HK,步阳国际,main_board_profitable,非必需性消费,汽车,汽车零件,非必需性消费,汽车,汽车零件,011002020001002,1,OK
HK_2076_HK_2022,2076.HK,BOSS直聘-W,main_board_unprofitable,非必需性消费,支援服务,其他支援服务,非必需性消费,支援服务,其他支援服务,011002020006002,1,OK
HK_2145_HK_2022,2145.HK,上美股份,main_board_profitable,医疗保健业,其他医疗保健,护肤与化妆品,医疗保健业,其他医疗保健,护肤与化妆品,011002HS282040,1,OK
HK_0314_HK_2022,0314.HK,思派健康,main_board_profitable,医疗保健业,药品及生物科技,药品分销,医疗保健业,药品及生物科技,药品分销,011002022001004,1,OK
HK_6929_HK_2022,6929.HK,业聚医疗,main_board_profitable,医疗保健业,其他医疗保健,医疗设备及用品,医疗保健业,其他医疗保健,医疗设备及用品,011002022002001,1,OK
HK_6698_HK_2022,6698.HK,星空华文,main_board_profitable,非必需性消费,媒体及娱乐,影视娱乐,非必需性消费,媒体及娱乐,影视娱乐,011002020005003,1,OK
HK_2427_HK_2022,2427.HK,GUANZE MEDICAL,main_board_profitable,医疗保健业,其他医疗保健,医疗设备及用品,医疗保健业,其他医疗保健,医疗设备及用品,011002022002001,1,OK
HK_3896_HK_2022,3896.HK,金山云,main_board_profitable,资讯科技业,软件服务,互联网服务及基础设施,资讯科技业,半导体,互联网服务及基础设施,011002HS702025,1,OK
HK_9658_HK_2022,9658.HK,特海国际,main_board_profitable,非必需性消费,旅游及消闲设施,餐饮,非必需性消费,旅游及消闲设施,餐饮,011002020004006,1,OK
HK_2425_HK_2022,2425.HK,澳亚集团,main_board_profitable,必需性消费,食物饮品,乳制品,必需性消费,食物饮品,乳制品,011002021001002,1,OK
HK_6955_HK_2022,6955.HK,博安生物,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_6922_HK_2022,6922.HK,康沣生物-B,18a,医疗保健业,其他医疗保健,医疗设备及用品,医疗保健业,其他医疗保健,医疗设备及用品,011002022002001,1,OK
HK_2469_HK_2023,2469.HK,粉笔,main_board_profitable,非必需性消费,支援服务,教育,非必需性消费,支援服务,教育,011002020006001,1,OK
HK_2402_HK_2023,2402.HK,亿华通,a_plus_h,工业,工业工程,新能源物料,工业,工业工程,新能源物料,011002018001005,1,OK
HK_2147_HK_2023,2147.HK,正味集团,main_board_profitable,必需性消费,食物饮品,包装食品,必需性消费,食物饮品,包装食品,011002021001001,1,OK
HK_2411_HK_2023,2411.HK,百果园集团,main_board_profitable,必需性消费,食物饮品,包装食品,必需性消费,食物饮品,包装食品,011002021001001,1,OK
HK_2373_HK_2023,2373.HK,美丽田园医疗健康,main_board_profitable,医疗保健业,其他医疗保健,医疗及医学美容服务,医疗保健业,其他医疗保健,医疗及医学美容服务,011002022002002,1,OK
HK_2458_HK_2023,2458.HK,望尘科技控股,main_board_profitable,资讯科技业,软件服务,游戏软件,资讯科技业,软件服务,游戏软件,011002005001004,1,OK
HK_2455_HK_2023,2455.HK,润华服务,main_board_profitable,地产建筑业,地产,物业服务及管理,地产建筑业,地产,物业服务及管理,011002004001005,1,OK
HK_2459_HK_2023,2459.HK,升能集团,main_board_profitable,工业,工业工程,工业零件及器材,工业,工业工程,工业零件及器材,011002018001002,1,OK
HK_2306_HK_2023,2306.HK,乐华娱乐,main_board_profitable,非必需性消费,媒体及娱乐,影视娱乐,非必需性消费,媒体及娱乐,影视娱乐,011002020005003,1,OK
HK_2450_HK_2023,2450.HK,淮北绿金股份,main_board_profitable,地产建筑业,建筑,建筑材料,地产建筑业,建筑,建筑材料,011002004002001,1,OK
HK_2482_HK_2023,2482.HK,维天运通,main_board_profitable,工业,工用运输,公路运输,工业,工用运输,公路运输,011002018002004,1,OK
HK_9636_HK_2023,9636.HK,九方智投控股,main_board_profitable,资讯科技业,软件服务,应用软件,资讯科技业,软件服务,应用软件,011002005001003,1,OK
HK_2421_HK_2023,2421.HK,嘉创地产,main_board_profitable,地产建筑业,地产,地产发展商,地产建筑业,地产,地产发展商,011002004001002,1,OK
HK_1405_HK_2023,1405.HK,达势股份,main_board_profitable,非必需性消费,旅游及消闲设施,餐饮,非必需性消费,旅游及消闲设施,餐饮,011002020004006,1,OK
HK_2409_HK_2023,2409.HK,洲际船务,main_board_profitable,工业,工用运输,航运及港口,工业,工用运输,航运及港口,011002018002001,1,OK
HK_2433_HK_2023,2433.HK,中天湖南集团,main_board_profitable,地产建筑业,建筑,楼宇建造,地产建筑业,建筑,楼宇建造,011002004002002,1,OK
HK_2439_HK_2023,2439.HK,中宝新材,main_board_profitable,工业,工用支援,印刷及包装,工业,工用支援,印刷及包装,011002018003002,1,OK
HK_2405_HK_2023,2405.HK,力盟科技,main_board_profitable,非必需性消费,媒体及娱乐,广告及宣传,非必需性消费,媒体及娱乐,广告及宣传,011002020005001,1,OK
HK_9669_HK_2023,9669.HK,北森控股,main_board_profitable,资讯科技业,软件服务,应用软件,资讯科技业,软件服务,应用软件,011002005001003,1,OK
HK_6623_HK_2023,6623.HK,陆控,main_board_profitable,金融业,其他金融,信贷,金融业,其他金融,信贷,011002003003003,1,OK
HK_6979_HK_2023,6979.HK,珍酒李渡,main_board_profitable,必需性消费,食物饮品,酒精饮料,必需性消费,食物饮品,酒精饮料,011002021001004,1,OK
HK_2415_HK_2023,2415.HK,梅斯健康,main_board_profitable,医疗保健业,其他医疗保健,医疗及医学美容服务,医疗保健业,其他医疗保健,医疗及医学美容服务,011002022002002,1,OK
HK_2480_HK_2023,2480.HK,绿竹生物-B,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_2442_HK_2023,2442.HK,怡俊集团控股,main_board_profitable,地产建筑业,建筑,楼宇建造,地产建筑业,建筑,楼宇建造,011002004002002,1,OK
HK_2486_HK_2023,2486.HK,普乐师集团控股,main_board_profitable,非必需性消费,媒体及娱乐,广告及宣传,非必需性消费,媒体及娱乐,广告及宣传,011002020005001,1,OK
HK_9930_HK_2023,9930.HK,宏信建发,main_board_profitable,工业,工业工程,重型机械,工业,工业工程,重型机械,011002018001004,1,OK
HK_2416_HK_2023,2416.HK,易点云,main_board_profitable,资讯科技业,软件服务,互联网服务及基础设施,资讯科技业,半导体,互联网服务及基础设施,011002HS702025,1,OK
HK_2487_HK_2023,2487.HK,科笛-B,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_9885_HK_2023,9885.HK,药师帮,main_board_profitable,医疗保健业,药品及生物科技,药品分销,医疗保健业,药品及生物科技,药品分销,011002022001004,1,OK
HK_2105_HK_2023,2105.HK,来凯医药-B,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_9860_HK_2023,9860.HK,艾迪康控股,main_board_profitable,医疗保健业,其他医疗保健,医疗及医学美容服务,医疗保健业,其他医疗保健,医疗及医学美容服务,011002022002002,1,OK
HK_2481_HK_2023,2481.HK,慧居科技,main_board_profitable,公用事业,公用事业Ⅱ,非传统/可再生能源,公用事业,公用事业,非传统/可再生能源,011002002001004,1,OK
HK_6990_HK_2023,6990.HK,科伦博泰生物,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_3650_HK_2023,3650.HK,KEEP,main_board_profitable,非必需性消费,旅游及消闲设施,消闲及文娱设施,非必需性消费,旅游及消闲设施,消闲及文娱设施,011002020004007,1,OK
HK_6683_HK_2023,6683.HK,巨星传奇,main_board_profitable,必需性消费,食物饮品,非酒精饮料,必需性消费,食物饮品,非酒精饮料,011002021001003,1,OK
HK_1284_HK_2023,1284.HK,新传企划,main_board_profitable,非必需性消费,媒体及娱乐,广告及宣传,非必需性消费,媒体及娱乐,广告及宣传,011002020005001,1,OK
HK_2271_HK_2023,2271.HK,众安智慧生活,main_board_profitable,地产建筑业,地产,物业服务及管理,地产建筑业,地产,物业服务及管理,011002004001005,1,OK
HK_1541_HK_2023,1541.HK,宜明昂科-B,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_2490_HK_2023,2490.HK,乐舱物流,main_board_profitable,工业,工用运输,航运及港口,工业,工用运输,航运及港口,011002018002001,1,OK
HK_2496_HK_2023,2496.HK,友芝友生物-B,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_9690_HK_2023,9690.HK,途虎-W,main_board_unprofitable,非必需性消费,专业零售,汽车零售商,非必需性消费,专业零售,汽车零售商,011002020007001,1,OK
HK_9890_HK_2023,9890.HK,贪玩,main_board_profitable,资讯科技业,软件服务,游戏软件,资讯科技业,软件服务,游戏软件,011002005001004,1,OK
HK_6682_HK_2023,6682.HK,范式智能,main_board_profitable,资讯科技业,软件服务,数码解决方案服务,资讯科技业,半导体,数码解决方案服务,011002HS702015,1,OK
HK_9686_HK_2023,9686.HK,熙康云医院,main_board_profitable,医疗保健业,其他医疗保健,医疗及医学美容服务,医疗保健业,其他医疗保健,医疗及医学美容服务,011002022002002,1,OK
HK_1973_HK_2023,1973.HK,天图投资,main_board_profitable,金融业,其他金融,投资及资产管理,金融业,其他金融,投资及资产管理,011002003003002,1,OK
HK_2501_HK_2023,2501.HK,迈越科技,main_board_profitable,资讯科技业,软件服务,数码解决方案服务,资讯科技业,半导体,数码解决方案服务,011002HS702015,1,OK
HK_2451_HK_2023,2451.HK,绿源集团控股,main_board_profitable,非必需性消费,汽车,摩托车及其他,非必需性消费,专业零售,摩托车及其他,011002HS231030,1,OK
HK_9676_HK_2023,9676.HK,十月稻田,main_board_profitable,必需性消费,农业产品,农产品,必需性消费,农业产品,农产品,011002021002002,1,OK
HK_1519_HK_2023,1519.HK,极兔速递-W,main_board_profitable,工业,工用运输,航空货运及物流,工业,工用运输,航空货运及物流,011002018002003,1,OK
HK_2517_HK_2023,2517.HK,锅圈,main_board_profitable,必需性消费,食物饮品,包装食品,必需性消费,食物饮品,包装食品,011002021001001,1,OK
HK_2429_HK_2023,2429.HK,友宝在线,main_board_profitable,必需性消费,食物饮品,非酒精饮料,必需性消费,食物饮品,非酒精饮料,011002021001003,1,OK
HK_2473_HK_2023,2473.HK,喜相逢集团,main_board_profitable,非必需性消费,汽车,汽车Ⅲ,非必需性消费,汽车,汽车,011002020001001,1,MISMATCH
HK_2499_HK_2023,2499.HK,佛朗斯股份,main_board_profitable,工业,工业工程,工业零件及器材,工业,工业工程,工业零件及器材,011002018001002,1,OK
HK_1111_HK_2023,1111.HK,华视集团控股,main_board_profitable,非必需性消费,媒体及娱乐,广告及宣传,非必需性消费,媒体及娱乐,广告及宣传,011002020005001,1,OK
HK_2268_HK_2023,2268.HK,药明合联,main_board_profitable,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_2520_HK_2023,2520.HK,山西安装,main_board_profitable,地产建筑业,建筑,重型基建,地产建筑业,建筑,重型基建,011002004002003,1,OK
HK_9663_HK_2023,9663.HK,国鸿氢能,main_board_profitable,工业,工业工程,新能源物料,工业,工业工程,新能源物料,011002018001005,1,OK
HK_2521_HK_2023,2521.HK,升辉清洁,main_board_profitable,非必需性消费,支援服务,其他支援服务,非必需性消费,支援服务,其他支援服务,011002020006002,1,OK
HK_2483_HK_2023,2483.HK,K CASH集团,main_board_profitable,金融业,其他金融,信贷,金融业,其他金融,信贷,011002003003003,1,OK
HK_2419_HK_2023,2419.HK,德康农牧,main_board_profitable,必需性消费,农业产品,禽畜肉类,必需性消费,农业产品,禽畜肉类,011002021002001,1,OK
HK_1497_HK_2023,1497.HK,燕之屋,main_board_profitable,必需性消费,食物饮品,包装食品,必需性消费,食物饮品,包装食品,011002021001001,1,OK
HK_0666_HK_2023,0666.HK,瑞浦兰钧,main_board_profitable,工业,工业工程,能源储存装置,工业,工业工程,能源储存装置,011002018001008,1,OK
HK_2502_HK_2023,2502.HK,金源氢化,main_board_profitable,原材料业,原材料,特殊化工用品,原材料业,原材料,特殊化工用品,011002009003004,1,OK
HK_1274_HK_2023,1274.HK,知行科技,main_board_profitable,资讯科技业,软件服务,数码解决方案服务,资讯科技业,半导体,数码解决方案服务,011002HS702015,1,OK
HK_2516_HK_2023,2516.HK,泛远国际,main_board_profitable,工业,工用运输,航空货运及物流,工业,工用运输,航空货运及物流,011002018002003,1,OK
HK_6911_HK_2023,6911.HK,澜沧古茶,main_board_profitable,必需性消费,食物饮品,非酒精饮料,必需性消费,食物饮品,非酒精饮料,011002021001003,1,OK
HK_2489_HK_2023,2489.HK,集海黄金,main_board_profitable,原材料业,黄金及贵金属,黄金及贵金属Ⅲ,原材料业,黄金及贵金属,黄金及贵金属,011002009004001,1,MISMATCH
HK_2511_HK_2023,2511.HK,君圣泰医药-B,18a,医疗保健业,药品及生物科技,药品,医疗保健业,药品及生物科技,药品,011002022001001,1,OK
HK_2149_HK_2023,2149.HK,贝克微,main_board_profitable,资讯科技业,半导体,半导体Ⅲ,资讯科技业,半导体,半导体,011002005003001,1,MISMATCH
HK_9880_HK_2023,9880.HK,优必选,main_board_profitable,资讯科技业,软件服务,数码解决方案服务,资讯科技业,半导体,数码解决方案服务,011002HS702015,1,OK
HK_2498_HK_2024,2498.HK,速腾聚创,main_board_profitable,资讯科技业,软件服务,数码解决方案服务,资讯科技业,半导体,数码解决方案服务,011002HS702015,1,OK
HK_2503_HK_2024,2503.HK,中深建业,main_board_profitable,地产建筑业,建筑,楼宇建造,地产建筑业,建筑,楼宇建造,011002004002002,1,OK
HK_6959_HK_2024,6959.HK,长久股份,main_board_profitable,非必需性消费,支援服务,其他支援服务,非必需性消费,支援服务,其他支援服务,011002020006002,1,OK
HK_2453_HK_2024,2453.HK,美中嘉和,main_board_profitable,医疗保健业,其他医疗保健,医疗及医学美容服务,医疗保健业,其他医疗保健,医疗及医学美容服务,011002022002002,1,OK
HK_2477_HK_2024,2477.HK,经纬天地,main_board_profitable,电讯业,电讯,卫星及无线通讯,电讯业,电讯,卫星及无线通讯,011002001001001,1,OK
HK_2540_HK_2024,2540.HK,乐思集团,main_board_profitable,非必需性消费,媒体及娱乐,广告及宣传,非必需性消费,媒体及娱乐,广告及宣传,011002020005001,1,OK
HK_2535_HK_2024,2535.HK,泓基集团,main_board_profitable,地产建筑业,建筑,楼宇建造,地产建筑业,建筑,楼宇建造,011002004002002,1,OK
HK_2509_HK_2024,2509.HK,荃信生物-B,18a,医疗保健业,药品及生物科技,生物技术,医疗保健业,药品及生物科技,生物技术,011002022001002,1,OK
HK_9879_HK_2024,9879.HK,米高集团,main_board_profitable,原材料业,原材料,化肥及农用化合物,原材料业,原材料,化肥及农用化合物,011002009003001,1,OK
HK_2536_HK_2024,2536.HK,百乐皇宫,main_board_profitable,非必需性消费,旅游及消闲设施,赌场及博彩,非必需性消费,旅游及消闲设施,赌场及博彩,011002020004003,1,OK
HK_2598_HK_2024,2598.HK,连连数字,main_board_profitable,金融业,其他金融,支付服务,金融业,其他金融,支付服务,011002HS503050,1,OK
HK_2497_HK_2024,2497.HK,富景中国控股,main_board_profitable,必需性消费,农业产品,农产品,必需性消费,农业产品,农产品,011002021002002,1,OK
HK_2555_HK_2024,2555.HK,茶百道,main_board_profitable,必需性消费,食物饮品,非酒精饮料,必需性消费,食物饮品,非酒精饮料,011002021001003,1,OK
HK_2515_HK_2024,2515.HK,天津建发,main_board_profitable,地产建筑业,建筑,重型基建,地产建筑业,建筑,重型基建,011002004002003,1,OK
HK_2438_HK_2024,2438.HK,出门问问,main_board_profitable,资讯科技业,软件服务,数码解决方案服务,资讯科技业,半导体,数码解决方案服务,011002HS702015,1,OK
HK_2556_HK_2024,2556.HK,迈富时,main_board_profitable,资讯科技业,软件服务,应用软件,资讯科技业,软件服务,应用软件,011002005001003,1,OK
